index,feature,selection_rate,mean_importance
0,satire_4_Development_of_Resistance,1.000,0.947505
1,mystery_6_Red-Herrings_and_False_Leads,1.000,0.924876
2,mystery_4_Uncovering_Secrets_and_Clues,1.000,0.920015
3,comedy_4_Climax,1.000,0.918368
4,tragedy_5_Crisis,1.000,0.910770
5,romance_2_Meeting_with_Mentor,1.000,0.898494
6,comedy_5_Falling_Action,1.000,0.884061
7,satire_5_Crisis_and_Struggle,1.000,0.881918
8,mystery_9_Resolution_and_Aftermath,1.000,0.871984
9,romance_5_Approach_to_Inmost_Cave,1.000,0.870818
10,tragedy_6_Downfall,1.000,0.862435
11,mystery_8_Final_Confrontation,1.000,0.841867
12,mystery_2_Presentation_of_Mystery,1.000,0.820523
13,mystery_3_Initial_Investigation,1.000,0.820025
14,romance_8_Return,1.000,0.809214
15,mystery_5_Confrontation_of_Suspects,1.000,0.798332
16,mystery_7_Realization_or_Insight,1.000,0.797263
17,romance_7_Reward,1.000,0.784156
18,comedy_6_Resolution,1.000,0.782358
19,comedy_7_Denouement,1.000,0.781390
20,satire_6_Consequence_of_Resistance,1.000,0.777851
21,satire_8_Closure,1.000,0.750267
22,tragedy_7_Final_Act,1.000,0.724798
23,satire_7_Final_Revelation,1.000,0.709060
24,romance_9_Resurrection,1.000,0.638580
25,romance_10_Return_with_Elixir,1.000,0.636607
26,romance_3_Departure,0.995,0.896388
27,romance_1_Call_to_Adventure,0.985,0.886265
28,romance_6_Ordeal,0.980,0.737493
29,satire_3_Protagonist's_Awakening,0.965,0.861337
30,tragedy_3_Awakening,0.950,0.858269
31,romance_4_Trials_and_Challenges,0.950,0.775456
32,satire_2_Revelation_of_the_System,0.900,0.612729
33,satire_1_Establishment_of_Setting_and_Characters,0.745,0.666468
34,tragedy_4_Confrontation,0.745,0.656564
35,mystery_1_Introduction_of_Characters_and_Setting,0.725,0.601237
36,comedy_1_Set_Up,0.000,0.000000
37,comedy_2_Catalyst,0.000,0.000000
38,comedy_3_Rising_Action,0.000,0.000000
39,tragedy_1_Normalcy,0.000,0.000000
40,tragedy_2_Catalyst,0.000,0.000000
